orig-block,dest-block,Count
121484,130504,1.0
121484,130581,1.0
121484,130946,1.0
121484,132286,1.0
121484,132518,1.0
121484,133206,1.0
121484,133237,1.0
121484,133883,1.0
121484,134024,2.0
121484,150364,1.0
121487,88742,1.0
121487,92199,1.0
121487,92653,1.0
121487,92949,1.0
121487,118568,1.0
121487,121889,1.0
121487,122141,1.0
121487,123003,1.0
121487,123777,1.0
121487,128264,1.0
121487,128705,1.0
121487,131857,1.0
121487,145745,1.0
121487,148434,1.0
121488,62315,2.0
121488,121971,1.0
121488,130303,1.0
121490,61680,1.0
121490,61917,1.0
121490,62620,1.0
121490,66879,1.0
121490,68614,1.0
121490,69830,1.0
121490,88151,1.0
121490,88648,1.0
121490,90218,1.0
121490,90623,1.0
121490,91285,1.0
121490,92193,1.0
121490,92804,1.0
121490,94127,1.0
121490,94131,1.0
121490,94474,1.0
121490,118614,1.0
121490,119203,1.0
121490,121520,1.0
121490,121612,1.0
121490,122346,1.0
121490,122352,1.0
121490,124314,1.0
121490,125130,1.0
121490,126050,1.0
121490,126479,2.0
121490,126707,1.0
121490,127229,1.0
121490,128607,1.0
121490,129333,1.0
121490,129772,1.0
121490,130303,1.0
121490,130455,1.0
121490,131473,1.0
121490,131855,1.0
121490,131857,1.0
121490,132545,1.0
121490,147387,1.0
121490,148027,1.0
121490,149697,1.0
121490,150364,1.0
121490,152400,1.0
121490,152630,1.0
121490,221037,1.0
121491,118318,1.0
121491,122123,1.0
121491,123200,1.0
121491,129983,1.0
121491,131894,1.0
121491,147193,1.0
121514,90218,1.0
121514,129586,1.0
121515,55701,1.0
121515,55939,1.0
121515,57093,1.0
121515,58004,1.0
121515,59075,1.0
121515,59080,1.0
121515,61334,1.0
121515,63088,1.0
121515,65010,1.0
121515,66066,1.0
121515,67628,1.0
121515,69424,1.0
121515,69540,1.0
121515,70852,1.0
121515,88285,1.0
121515,88648,1.0
121515,88650,1.0
121515,89011,1.0
121515,90062,1.0
121515,90218,1.0
121515,90623,1.0
121515,91285,1.0
121515,91377,1.0
121515,91430,1.0
121515,92032,1.0
121515,92193,1.0
121515,92949,1.0
121515,92996,1.0
121515,93381,1.0
121515,93419,1.0
121515,94559,1.0
121515,121515,1.0
121515,121520,2.0
121515,121959,1.0
121515,121978,3.0
121515,122152,1.0
121515,122162,1.0
121515,122226,1.0
121515,122360,1.0
121515,122545,5.0
121515,123003,3.0
121515,123513,1.0
121515,123538,1.0
121515,124099,1.0
121515,124110,1.0
121515,124111,1.0
121515,124182,1.0
121515,124444,1.0
121515,125162,1.0
121515,125266,1.0
121515,125779,4.0
121515,125802,1.0
121515,125819,1.0
121515,126051,5.0
121515,126060,1.0
121515,126089,1.0
121515,126133,1.0
121515,126480,1.0
121515,126502,1.0
121515,126517,1.0
121515,126519,3.0
121515,126529,1.0
121515,126696,1.0
121515,126921,1.0
121515,127047,3.0
121515,127093,2.0
121515,127097,3.0
121515,127099,1.0
121515,127126,1.0
121515,127222,1.0
121515,127490,1.0
121515,127769,1.0
121515,128256,2.0
121515,128259,1.0
121515,128264,1.0
121515,128802,1.0
121515,129052,4.0
121515,129292,1.0
121515,129314,1.0
121515,129346,1.0
121515,129722,1.0
121515,129747,1.0
121515,130303,2.0
121515,130954,13.0
121515,130988,1.0
121515,131136,1.0
121515,131600,1.0
121515,131676,1.0
121515,131825,1.0
121515,131994,1.0
121515,132289,1.0
121515,132304,1.0
121515,132537,2.0
121515,132924,1.0
121515,132951,1.0
121515,133028,1.0
121515,133145,3.0
121515,133345,1.0
121515,134113,1.0
121515,150233,1.0
121519,88648,1.0
121519,89761,1.0
121519,123814,1.0
121519,126050,1.0
121519,126475,1.0
121519,128264,1.0
121519,131700,1.0
121519,132691,1.0
121519,133909,1.0
121520,101374,1.0
121520,122219,1.0
121520,127042,1.0
121520,127696,1.0
121520,134129,1.0
121521,69220,1.0
121521,88648,1.0
121521,93181,1.0
121521,122785,1.0
121521,127489,1.0
121521,129175,1.0
121521,132954,1.0
121521,150211,1.0
121522,68186,1.0
121522,70383,1.0
121522,89196,1.0
121522,93992,1.0
121522,94209,1.0
121522,125136,1.0
121522,127940,1.0
121522,128264,2.0
121522,128267,1.0
121522,132924,1.0
121522,133967,1.0
121522,146726,1.0
121522,148123,1.0
121523,90218,1.0
121523,91697,1.0
121523,92663,1.0
121523,93803,1.0
121523,93956,1.0
121523,122140,1.0
121523,122141,1.0
121523,122209,1.0
121523,122688,1.0
121523,122815,1.0
121523,125802,1.0
121523,127097,1.0
121523,129399,1.0
121523,129772,1.0
121523,132518,1.0
121523,133478,1.0
121530,62654,1.0
121530,66845,1.0
121530,67708,1.0
121530,68816,1.0
121530,68888,1.0
121530,93307,1.0
121530,121614,1.0
121530,128062,1.0
121584,88648,1.0
121584,94127,1.0
121584,121959,1.0
121584,124322,1.0
121584,125802,1.0
121584,126051,1.0
121584,128255,1.0
121584,130368,1.0
121585,122545,1.0
121586,55683,1.0
121586,58380,1.0
121586,61334,1.0
121586,61660,1.0
121586,61908,1.0
121586,61914,1.0
121586,62305,1.0
121586,62498,1.0
121586,63414,1.0
121586,63602,1.0
121586,64521,1.0
121586,66066,1.0
121586,66833,1.0
121586,67354,1.0
121586,68636,1.0
121586,69658,1.0
121586,69830,1.0
121586,69854,1.0
121586,70383,1.0
121586,87881,1.0
121586,88431,1.0
121586,88648,3.0
121586,90562,1.0
121586,90655,1.0
121586,90781,1.0
121586,91430,1.0
121586,91544,1.0
121586,91828,1.0
121586,92316,1.0
121586,92357,1.0
121586,92949,1.0
121586,93504,1.0
121586,93686,1.0
121586,93992,1.0
121586,94127,1.0
121586,121520,2.0
121586,121586,1.0
121586,121720,1.0
121586,121725,2.0
121586,121749,1.0
121586,121959,1.0
121586,121969,1.0
121586,121973,1.0
121586,121978,3.0
121586,122070,1.0
121586,122190,2.0
121586,122232,1.0
121586,122545,1.0
121586,122673,2.0
121586,122785,1.0
121586,122887,2.0
121586,123457,1.0
121586,123896,2.0
121586,123898,1.0
121586,124068,1.0
121586,124128,1.0
121586,124181,1.0
121586,124314,2.0
121586,124386,1.0
121586,124531,1.0
121586,124579,1.0
121586,125136,2.0
121586,125224,1.0
121586,125444,1.0
121586,125802,1.0
121586,126060,1.0
121586,126096,1.0
121586,126141,1.0
121586,126475,1.0
121586,126479,2.0
121586,126606,1.0
121586,126628,1.0
121586,127042,1.0
121586,127047,1.0
121586,127097,1.0
121586,127238,2.0
121586,127940,1.0
121586,128264,5.0
121586,128309,1.0
121586,128677,1.0
121586,129103,2.0
121586,129414,1.0
121586,129428,1.0
121586,129719,1.0
121586,129765,1.0
121586,129983,2.0
121586,129987,1.0
121586,130236,1.0
121586,130954,2.0
121586,131224,1.0
121586,131280,1.0
121586,131529,1.0
121586,131597,1.0
121586,131855,1.0
121586,131857,1.0
121586,132000,1.0
121586,132222,1.0
121586,132935,1.0
121586,133244,1.0
121586,133478,1.0
121586,133798,1.0
121586,134110,1.0
121586,134206,1.0
121586,221344,1.0
121587,89093,1.0
121587,90218,1.0
121587,94918,1.0
121587,122105,1.0
121587,122606,1.0
121587,123457,1.0
121587,124067,1.0
121587,133493,1.0
121587,152348,1.0
121592,51958,1.0
121592,62825,1.0
121592,64660,1.0
121592,68695,1.0
121592,90382,1.0
121592,94026,1.0
121592,119645,1.0
121592,121487,1.0
121592,122293,1.0
121592,122519,1.0
121592,126479,1.0
121592,126803,1.0
121592,129175,1.0
121592,129555,1.0
121592,130947,1.0
121592,132537,1.0
121594,125753,1.0
121594,132515,1.0
121595,56437,1.0
121595,63509,1.0
121595,66629,1.0
121595,67630,1.0
121595,70541,1.0
121595,88938,1.0
121595,89501,1.0
121595,93916,1.0
121595,121484,2.0
121595,121520,2.0
121595,122357,1.0
121595,122545,1.0
121595,124935,1.0
121595,125782,1.0
121595,126050,1.0
121595,126519,1.0
121595,126606,1.0
121595,129000,1.0
121595,129587,1.0
121595,129772,1.0
121595,130116,1.0
121595,130441,1.0
121595,132556,1.0
121596,52091,1.0
121596,88078,1.0
121596,88648,1.0
121596,90218,1.0
121596,90336,1.0
121596,91263,1.0
121596,92193,1.0
121596,92949,1.0
121596,92994,1.0
121596,93307,1.0
121596,93992,1.0
121596,121659,1.0
121596,122109,1.0
121596,122209,1.0
121596,125364,1.0
121596,125802,1.0
