stop_id,stop_lat,stop_lon
902084,33.799405,-84.470146
108088,33.744041,-84.218763
190058,33.567817,-84.579876
906309,33.92001,-84.378944
117120,33.743073,-84.349091
903750,33.767638,-84.52429
105264,33.740196,-84.313865
902699,33.909002,-84.378784
902478,33.815194,-84.244463
211055,33.56295,-84.518218
901585,33.801495,-84.39299
153108,33.693091,-84.259881
900482,33.837061,-84.368146
900069,33.570023,-84.538593
166148,33.667057,-84.465253
901612,33.820891,-84.208333
902660,33.982438,-84.342942
182025,33.60012,-84.54931
149042,33.68122,-84.396147
901765,33.839284,-84.379912
900451,33.816032,-84.390892
121118,33.706215,-84.484239
108004,33.73735,-84.238861
211524,33.77384,-84.352985
904171,33.803638,-84.248131
212113,33.596065,-84.420438
148028,33.69654,-84.41388
210748,34.093047,-84.23984
905557,33.7873,-84.212456
134052,33.705515,-84.135234
905260,33.849384,-84.321479
905789,33.790478,-84.286774
109012,33.730289,-84.193184
901665,33.793506,-84.447294
212026,33.781456,-84.492157
184022,33.602877,-84.472246
106110,33.732321,-84.283587
153011,33.693777,-84.294375
212176,33.574061,-84.371624
905158,33.763459,-84.417586
137074,33.698994,-84.407903
210990,34.022089,-84.326413
901112,33.781775,-84.247683
182028,33.594059,-84.549464
902639,34.087517,-84.269008
902999,33.918901,-84.349888
154004,33.674377,-84.258003
145075,33.670361,-84.503377
128130,33.724917,-84.320735
128074,33.698098,-84.324322
902526,33.813965,-84.353674
901037,33.763988,-84.371856
901820,33.815615,-84.334896
211063,33.572334,-84.468392
902981,34.093963,-84.279531
901409,33.767197,-84.252754
125126,33.713857,-84.397676
113108,33.738443,-84.426198
905554,33.786535,-84.279414
900637,33.835194,-84.3825
904187,33.800919,-84.213448
122042,33.711851,-84.44219
122136,33.69949,-84.44838
211727,33.791718,-84.280945
903827,33.785188,-84.269236
124093,33.722025,-84.407678
120024,33.719657,-84.520897
212124,33.581881,-84.411298
905376,33.9208,-84.27014
159123,33.680621,-84.378063
902498,33.843117,-84.256841
212121,33.573339,-84.412416
210402,33.731819,-84.387846
906389,33.528321,-84.660799
901554,33.803736,-84.414242
900080,33.840881,-84.427473
184062,33.608929,-84.471069
212193,33.633875,-84.289575
904766,33.77301,-84.416565
900181,33.726124,-84.445993
902841,34.045385,-84.29407
153028,33.689564,-84.272682
904042,33.779497,-84.498922
900247,33.733199,-84.437509
106136,33.727925,-84.280155
210390,33.650041,-84.470934
144100,33.691202,-84.514341
905970,33.929394,-84.265047
212154,33.579446,-84.383374
211572,33.766373,-84.397584
901227,33.759379,-84.370245
120018,33.724076,-84.511954
136124,33.69941,-84.41843
906292,33.914017,-84.379242
901030,33.759868,-84.172263
211129,33.579674,-84.469403
902758,33.924049,-84.313904
906236,33.902848,-84.244862
903208,33.942707,-84.299725
900542,33.825866,-84.362372
901058,33.762547,-84.258293
212215,33.562917,-84.413337
106168,33.747039,-84.291395
905447,33.847816,-84.429512
108150,33.751247,-84.229396
906288,33.974982,-84.353657
904070,33.7939,-84.276495
900940,33.759858,-84.178026
152024,33.687122,-84.310646
901325,33.732421,-84.568413
210172,33.656535,-84.511999
902622,34.020123,-84.361767
121018,33.702539,-84.474888
183006,33.5869,-84.51607
905371,33.884205,-84.220587
903745,33.767908,-84.51307
