Stop Id,Lat,Lon
212088,33.635249,-84.358884
908437,33.757451,-84.352762
908566,33.765241,-84.312937
908437,33.757451,-84.352762
908437,33.757451,-84.352762
211524,33.77384,-84.352985
908566,33.765241,-84.312937
903506,33.788646,-84.2322
908476,33.761803,-84.340825
908476,33.761803,-84.340825
908476,33.761803,-84.340825
908566,33.765241,-84.312937
908476,33.761803,-84.340825
908566,33.765241,-84.312937
908476,33.761803,-84.340825
908476,33.761803,-84.340825
122372,33.707124,-84.455263
908476,33.761803,-84.340825
908476,33.761803,-84.340825
908476,33.761803,-84.340825
908476,33.761803,-84.340825
903358,33.780327,-84.238746
908476,33.761803,-84.340825
106440,33.748244,-84.280274
908566,33.765241,-84.312937
210348,33.732205,-84.112998
908566,33.765241,-84.312937
906042,33.810994,-84.193824
908566,33.765241,-84.312937
908566,33.765241,-84.312937
908566,33.765241,-84.312937
117121,33.747561,-84.34916
908437,33.757451,-84.352762
153108,33.693091,-84.259881
908976,33.753899,-84.39156
211144,33.601007,-84.46443
908437,33.757451,-84.352762
901409,33.767197,-84.252754
908437,33.757451,-84.352762
908437,33.757451,-84.352762
908437,33.757451,-84.352762
908566,33.765241,-84.312937
908566,33.765241,-84.312937
106096,33.737281,-84.287323
106110,33.732321,-84.283587
106342,33.728568,-84.308802
107094,33.7388,-84.252083
107094,33.7388,-84.252083
108004,33.73735,-84.238861
